original_City,original_Country,lat,lon,formatted,district,postcode,city,county,county_code,state_code,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Eskişehir,Turkey,39.7743941,30.519116,"Odunpazarı (Eskisehir), Central Anatolia Region, Turkey",,26120,Eskisehir,Eskişehir,,,Central Anatolia Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tirana,Albania,41.3281482,19.8184435,"Tirana, Central Albania, Albania",,1001-1028,Tirana,Tirana County,,,Central Albania,Albania,al,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sheffield,United Kingdom,53.3806626,-1.4702278,"Sheffield, ENG, United Kingdom",,,Sheffield,South Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Venice,Italy,45.4371908,12.3345898,"Venice, VE, Italy",,30121-30176,Venice,Venezia,VE,VEN,Veneto,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Munich,Germany,48.1371079,11.5753822,"Munich, BY, Germany",,,Munich,,,BY,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Munich,Germany,48.1371079,11.5753822,"Munich, BY, Germany",,,Munich,,,BY,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rome,Italy,41.8933203,12.4829321,"Rome, LAZ, Italy",,,Rome,Roma Capitale,,LAZ,Lazio,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stuttgart,Germany,48.7784485,9.1800132,"Stuttgart, BW, Germany",,,Stuttgart,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sheffield,United Kingdom,53.3806626,-1.4702278,"Sheffield, ENG, United Kingdom",,,Sheffield,South Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rome,Italy,41.8933203,12.4829321,"Rome, LAZ, Italy",,,Rome,Roma Capitale,,LAZ,Lazio,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Budapest,Hungary,47.4978789,19.0402383,"Budapest, Central Hungary, Hungary",,,Budapest,,,,Central Hungary,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Porto,Portugal,41.1502195,-8.6103497,"Porto, Portugal",,,Porto,Porto,,,,Portugal,pt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sintra,Portugal,38.83554455,-9.352237113314317,"Sintra, Portugal",,,Sintra,Lisbon,,,,Portugal,pt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilbao,Spain,43.2630018,-2.9350039,"Bilbao, PV, Spain",,,Bilbao,Biscay,BI,PV,Autonomous Community of the Basque Country,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bari,Italy,41.1257843,16.8620293,"Bari, BA, Italy",,,Bari,Bari,BA,PUG,Apulia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zagreb,Croatia,45.8130967,15.9772795,"City of Zagreb, Croatia",,,City of Zagreb,,,,,Croatia,hr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Edinburgh,United Kingdom,55.9533456,-3.1883749,"City of Edinburgh, SCT, United Kingdom",,,City of Edinburgh,,,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Edinburgh,United Kingdom,55.9533456,-3.1883749,"City of Edinburgh, SCT, United Kingdom",,,City of Edinburgh,,,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Athens,Greece,37.9755648,23.7348324,"Athens, Attica, Greece",,105 57,Athens,Regional Unit of Central Athens,,,Attica,Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Athens,Greece,37.9755648,23.7348324,"Athens, Attica, Greece",,105 57,Athens,Regional Unit of Central Athens,,,Attica,Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Utrecht,Netherlands,52.0907006,5.1215634,"Utrecht, UT, Netherlands",,,Utrecht,,,UT,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malmö,Sweden,55.6052931,13.0001566,"Malmö, Sweden",,,Malmö,Skåne County,,,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
